dataset,cell_id,protocol_id,split,split_seed,evaluation_partition,lpo_held_protocols,is_held_protocol,early_ratio,future_mask_definition,source_file,source_sha256,preprocessing_version,preprocessing_sha256
dynamic_cycling,cell_009,CC,test,42,test,not_applicable,false,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/DYNAMIC_CYCLING/dynamic_cycling_long_coarse_family_stratified_noleak.pkl,2f94794804c913653b4c54d338b51f706fc9b7e15d2eb99a955434f249bfc9b4,scripts/DYNAMIC/prepare_dynamic_cycling_long.py,741f07904eed11ed947e55bec5c4c91da7fbfbfbcbd83b69f777a5eca6c603e8
dynamic_cycling,cell_010,CC,test,42,test,not_applicable,false,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/DYNAMIC_CYCLING/dynamic_cycling_long_coarse_family_stratified_noleak.pkl,2f94794804c913653b4c54d338b51f706fc9b7e15d2eb99a955434f249bfc9b4,scripts/DYNAMIC/prepare_dynamic_cycling_long.py,741f07904eed11ed947e55bec5c4c91da7fbfbfbcbd83b69f777a5eca6c603e8
dynamic_cycling,cell_019,CC,test,42,test,not_applicable,false,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/DYNAMIC_CYCLING/dynamic_cycling_long_coarse_family_stratified_noleak.pkl,2f94794804c913653b4c54d338b51f706fc9b7e15d2eb99a955434f249bfc9b4,scripts/DYNAMIC/prepare_dynamic_cycling_long.py,741f07904eed11ed947e55bec5c4c91da7fbfbfbcbd83b69f777a5eca6c603e8
dynamic_cycling,cell_020,CC,test,42,test,not_applicable,false,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/DYNAMIC_CYCLING/dynamic_cycling_long_coarse_family_stratified_noleak.pkl,2f94794804c913653b4c54d338b51f706fc9b7e15d2eb99a955434f249bfc9b4,scripts/DYNAMIC/prepare_dynamic_cycling_long.py,741f07904eed11ed947e55bec5c4c91da7fbfbfbcbd83b69f777a5eca6c603e8
dynamic_cycling,cell_056,CC,test,42,test,not_applicable,false,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/DYNAMIC_CYCLING/dynamic_cycling_long_coarse_family_stratified_noleak.pkl,2f94794804c913653b4c54d338b51f706fc9b7e15d2eb99a955434f249bfc9b4,scripts/DYNAMIC/prepare_dynamic_cycling_long.py,741f07904eed11ed947e55bec5c4c91da7fbfbfbcbd83b69f777a5eca6c603e8
dynamic_cycling,cell_089,Drive,test,42,test,not_applicable,false,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/DYNAMIC_CYCLING/dynamic_cycling_long_coarse_family_stratified_noleak.pkl,2f94794804c913653b4c54d338b51f706fc9b7e15d2eb99a955434f249bfc9b4,scripts/DYNAMIC/prepare_dynamic_cycling_long.py,741f07904eed11ed947e55bec5c4c91da7fbfbfbcbd83b69f777a5eca6c603e8
dynamic_cycling,cell_093,Drive,test,42,test,not_applicable,false,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/DYNAMIC_CYCLING/dynamic_cycling_long_coarse_family_stratified_noleak.pkl,2f94794804c913653b4c54d338b51f706fc9b7e15d2eb99a955434f249bfc9b4,scripts/DYNAMIC/prepare_dynamic_cycling_long.py,741f07904eed11ed947e55bec5c4c91da7fbfbfbcbd83b69f777a5eca6c603e8
dynamic_cycling,cell_030,Periodic,test,42,test,not_applicable,false,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/DYNAMIC_CYCLING/dynamic_cycling_long_coarse_family_stratified_noleak.pkl,2f94794804c913653b4c54d338b51f706fc9b7e15d2eb99a955434f249bfc9b4,scripts/DYNAMIC/prepare_dynamic_cycling_long.py,741f07904eed11ed947e55bec5c4c91da7fbfbfbcbd83b69f777a5eca6c603e8
dynamic_cycling,cell_031,Periodic,test,42,test,not_applicable,false,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/DYNAMIC_CYCLING/dynamic_cycling_long_coarse_family_stratified_noleak.pkl,2f94794804c913653b4c54d338b51f706fc9b7e15d2eb99a955434f249bfc9b4,scripts/DYNAMIC/prepare_dynamic_cycling_long.py,741f07904eed11ed947e55bec5c4c91da7fbfbfbcbd83b69f777a5eca6c603e8
dynamic_cycling,cell_033,Periodic,test,42,test,not_applicable,false,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/DYNAMIC_CYCLING/dynamic_cycling_long_coarse_family_stratified_noleak.pkl,2f94794804c913653b4c54d338b51f706fc9b7e15d2eb99a955434f249bfc9b4,scripts/DYNAMIC/prepare_dynamic_cycling_long.py,741f07904eed11ed947e55bec5c4c91da7fbfbfbcbd83b69f777a5eca6c603e8
dynamic_cycling,cell_045,Periodic,test,42,test,not_applicable,false,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/DYNAMIC_CYCLING/dynamic_cycling_long_coarse_family_stratified_noleak.pkl,2f94794804c913653b4c54d338b51f706fc9b7e15d2eb99a955434f249bfc9b4,scripts/DYNAMIC/prepare_dynamic_cycling_long.py,741f07904eed11ed947e55bec5c4c91da7fbfbfbcbd83b69f777a5eca6c603e8
dynamic_cycling,cell_050,Periodic,test,42,test,not_applicable,false,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/DYNAMIC_CYCLING/dynamic_cycling_long_coarse_family_stratified_noleak.pkl,2f94794804c913653b4c54d338b51f706fc9b7e15d2eb99a955434f249bfc9b4,scripts/DYNAMIC/prepare_dynamic_cycling_long.py,741f07904eed11ed947e55bec5c4c91da7fbfbfbcbd83b69f777a5eca6c603e8
dynamic_cycling,cell_054,Periodic,test,42,test,not_applicable,false,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/DYNAMIC_CYCLING/dynamic_cycling_long_coarse_family_stratified_noleak.pkl,2f94794804c913653b4c54d338b51f706fc9b7e15d2eb99a955434f249bfc9b4,scripts/DYNAMIC/prepare_dynamic_cycling_long.py,741f07904eed11ed947e55bec5c4c91da7fbfbfbcbd83b69f777a5eca6c603e8
dynamic_cycling,cell_060,Synthetic,test,42,test,not_applicable,false,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/DYNAMIC_CYCLING/dynamic_cycling_long_coarse_family_stratified_noleak.pkl,2f94794804c913653b4c54d338b51f706fc9b7e15d2eb99a955434f249bfc9b4,scripts/DYNAMIC/prepare_dynamic_cycling_long.py,741f07904eed11ed947e55bec5c4c91da7fbfbfbcbd83b69f777a5eca6c603e8
dynamic_cycling,cell_068,Synthetic,test,42,test,not_applicable,false,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/DYNAMIC_CYCLING/dynamic_cycling_long_coarse_family_stratified_noleak.pkl,2f94794804c913653b4c54d338b51f706fc9b7e15d2eb99a955434f249bfc9b4,scripts/DYNAMIC/prepare_dynamic_cycling_long.py,741f07904eed11ed947e55bec5c4c91da7fbfbfbcbd83b69f777a5eca6c603e8
dynamic_cycling,cell_072,Synthetic,test,42,test,not_applicable,false,0.30,"frozen prediction rows with is_future=true; observed count is ceil(0.30 * cell trajectory length), lower-bounded by 5 and capped at cell length",data/DYNAMIC_CYCLING/dynamic_cycling_long_coarse_family_stratified_noleak.pkl,2f94794804c913653b4c54d338b51f706fc9b7e15d2eb99a955434f249bfc9b4,scripts/DYNAMIC/prepare_dynamic_cycling_long.py,741f07904eed11ed947e55bec5c4c91da7fbfbfbcbd83b69f777a5eca6c603e8
