dataset,dataset_label,panel,included_in_main_figure,series,arm,tau,median_soh,q25_soh,q75_soh,n_unique_test_cells,n_seeds,n_trajectories,aggregation_unit,interpolation,source_split
mit,MIT,a,True,Truth,truth,0.00000000,0.997419467606,0.99530317221,1.00191491871,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.01010101,0.997192579594,0.99515845513,1.00154559867,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.02020202,0.997233907874,0.994580282806,1.00146274923,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.03030303,0.99680928467,0.994213389795,1.001284748,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.04040404,0.996603757893,0.994191544358,1.00092843128,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.05050505,0.99641325387,0.994219958643,1.00069451359,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.06060606,0.996015731777,0.993609054787,1.00045653259,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.07070707,0.99568742413,0.992970603587,1.00017901891,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.08080808,0.995658497664,0.992610915211,1.00007000973,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.09090909,0.995270655271,0.99250679302,0.999830134696,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.10101010,0.995069222081,0.991906911422,0.999518070562,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.11111111,0.994869482919,0.991602349571,0.999229337466,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.12121212,0.994404112882,0.991575285339,0.998900254043,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.13131313,0.993998698983,0.991363179503,0.998540306568,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.14141414,0.993681452704,0.991083759832,0.998422731088,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.15151515,0.99253280085,0.990076084264,0.997741470081,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.16161616,0.992778856117,0.989950313214,0.997390911593,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.17171717,0.992989999707,0.989415753658,0.997384853991,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.18181818,0.99263903408,0.989071312066,0.997049278798,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.19191919,0.992146145354,0.988627289868,0.996640359809,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.20202020,0.991672387446,0.988274425412,0.996306388562,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.21212121,0.99115518599,0.987843402846,0.99606915545,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.22222222,0.990842251792,0.987790598367,0.994651838398,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.23232323,0.989485569941,0.987391728386,0.994677884647,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.24242424,0.989715373717,0.986591422636,0.99443098742,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.25252525,0.989270507612,0.986245504114,0.993399282538,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.26262626,0.988810317093,0.985843938946,0.993286154822,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.27272727,0.986828793309,0.983463326217,0.991144711926,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.28282828,0.987551644106,0.985203736512,0.992719058045,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.29292929,0.986848034305,0.984610644692,0.991774195255,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.30303030,0.987085386884,0.984503990293,0.99178784908,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.31313131,0.986413898227,0.984057434827,0.991427093842,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.32323232,0.986027615764,0.983559274321,0.991288759471,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.33333333,0.985307118531,0.982978401448,0.989997389721,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.34343434,0.984960193144,0.982473819602,0.990315797522,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.35353535,0.984792010763,0.98182210969,0.989831535734,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.36363636,0.983954314893,0.981497826725,0.989212735518,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.37373737,0.983725460066,0.981169297906,0.988368121116,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,Truth,truth,0.38383838,0.983077250913,0.980318364029,0.988007439039,14,1,14,unique test-cell trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
