dataset,seed,cell_id,comparison,family,treatment,reference,rmse_treatment,rmse_reference,delta_rmse,relative_delta,direction,n_future_points
aging_matrix,2026,PreDiag_000203_0001A4,Ag-A0,primary,Ag,A0,0.002527337171277105,0.00540414325443496,-0.002876806083157855,-0.5323334241365599,improve,164
aging_matrix,2026,PreDiag_000213_0001CF,Ag-A0,primary,Ag,A0,0.007187284367568061,0.00972146500369858,-0.0025341806361305194,-0.26067888277809753,improve,142
aging_matrix,2026,PreDiag_000240_000227,Ag-A0,primary,Ag,A0,0.003628339868791361,0.006360158074074175,-0.002731818205282814,-0.42952048887251515,improve,160
aging_matrix,2026,PreDiag_000243_00022C,Ag-A0,primary,Ag,A0,0.0030845145238899184,0.005645243404373986,-0.0025607288804840676,-0.45360823210917556,improve,164
aging_matrix,2026,PreDiag_000255_000214,Ag-A0,primary,Ag,A0,0.006174150475740995,0.007175285785440891,-0.0010011353096998962,-0.13952549621525362,improve,164
aging_matrix,2026,PreDiag_000203_0001A4,Abc-A0,primary,Abc,A0,0.002527337171277105,0.00540414325443496,-0.002876806083157855,-0.5323334241365599,improve,164
aging_matrix,2026,PreDiag_000213_0001CF,Abc-A0,primary,Abc,A0,0.007187284367568061,0.00972146500369858,-0.0025341806361305194,-0.26067888277809753,improve,142
aging_matrix,2026,PreDiag_000240_000227,Abc-A0,primary,Abc,A0,0.003628339868791361,0.006360158074074175,-0.002731818205282814,-0.42952048887251515,improve,160
aging_matrix,2026,PreDiag_000243_00022C,Abc-A0,primary,Abc,A0,0.0030845145238899184,0.005645243404373986,-0.0025607288804840676,-0.45360823210917556,improve,164
aging_matrix,2026,PreDiag_000255_000214,Abc-A0,primary,Abc,A0,0.006174150475740995,0.007175285785440891,-0.0010011353096998962,-0.13952549621525362,improve,164
aging_matrix,2026,PreDiag_000203_0001A4,Ac-A0,primary,Ac,A0,0.00540414325443496,0.00540414325443496,0.0,0.0,equal,164
aging_matrix,2026,PreDiag_000213_0001CF,Ac-A0,primary,Ac,A0,0.00972146500369858,0.00972146500369858,0.0,0.0,equal,142
aging_matrix,2026,PreDiag_000240_000227,Ac-A0,primary,Ac,A0,0.006360158074074175,0.006360158074074175,0.0,0.0,equal,160
aging_matrix,2026,PreDiag_000243_00022C,Ac-A0,primary,Ac,A0,0.005645243404373986,0.005645243404373986,0.0,0.0,equal,164
aging_matrix,2026,PreDiag_000255_000214,Ac-A0,primary,Ac,A0,0.007175285785440891,0.007175285785440891,0.0,0.0,equal,164
aging_matrix,2026,PreDiag_000203_0001A4,Ab-A0,secondary,Ab,A0,0.002527337171277105,0.00540414325443496,-0.002876806083157855,-0.5323334241365599,improve,164
aging_matrix,2026,PreDiag_000213_0001CF,Ab-A0,secondary,Ab,A0,0.007187284367568061,0.00972146500369858,-0.0025341806361305194,-0.26067888277809753,improve,142
aging_matrix,2026,PreDiag_000240_000227,Ab-A0,secondary,Ab,A0,0.003628339868791361,0.006360158074074175,-0.002731818205282814,-0.42952048887251515,improve,160
aging_matrix,2026,PreDiag_000243_00022C,Ab-A0,secondary,Ab,A0,0.0030845145238899184,0.005645243404373986,-0.0025607288804840676,-0.45360823210917556,improve,164
aging_matrix,2026,PreDiag_000255_000214,Ab-A0,secondary,Ab,A0,0.006174150475740995,0.007175285785440891,-0.0010011353096998962,-0.13952549621525362,improve,164
aging_matrix,2026,PreDiag_000203_0001A4,Ag-Abc,secondary,Ag,Abc,0.002527337171277105,0.002527337171277105,0.0,0.0,equal,164
aging_matrix,2026,PreDiag_000213_0001CF,Ag-Abc,secondary,Ag,Abc,0.007187284367568061,0.007187284367568061,0.0,0.0,equal,142
aging_matrix,2026,PreDiag_000240_000227,Ag-Abc,secondary,Ag,Abc,0.003628339868791361,0.003628339868791361,0.0,0.0,equal,160
aging_matrix,2026,PreDiag_000243_00022C,Ag-Abc,secondary,Ag,Abc,0.0030845145238899184,0.0030845145238899184,0.0,0.0,equal,164
aging_matrix,2026,PreDiag_000255_000214,Ag-Abc,secondary,Ag,Abc,0.006174150475740995,0.006174150475740995,0.0,0.0,equal,164
aging_matrix,2027,PreDiag_000203_0001A4,Ag-A0,primary,Ag,A0,0.0014055188548677867,0.00229681120772746,-0.0008912923528596732,-0.3880564279123085,improve,164
aging_matrix,2027,PreDiag_000213_0001CF,Ag-A0,primary,Ag,A0,0.00587185576250753,0.005842804664517538,2.9051097989991545e-05,0.004972115218298231,worse,142
aging_matrix,2027,PreDiag_000240_000227,Ag-A0,primary,Ag,A0,0.002963025498729602,0.003864434699822648,-0.000901409201093046,-0.23325771325219047,improve,160
aging_matrix,2027,PreDiag_000243_00022C,Ag-A0,primary,Ag,A0,0.0017870668447348631,0.0026930934231448075,-0.0009060265784099444,-0.3364259741691209,improve,164
aging_matrix,2027,PreDiag_000255_000214,Ag-A0,primary,Ag,A0,0.005201201023743027,0.005817563201442272,-0.0006163621776992447,-0.10594851424157078,improve,164
aging_matrix,2027,PreDiag_000203_0001A4,Abc-A0,primary,Abc,A0,0.0014055188548677867,0.00229681120772746,-0.0008912923528596732,-0.3880564279123085,improve,164
aging_matrix,2027,PreDiag_000213_0001CF,Abc-A0,primary,Abc,A0,0.00587185576250753,0.005842804664517538,2.9051097989991545e-05,0.004972115218298231,worse,142
aging_matrix,2027,PreDiag_000240_000227,Abc-A0,primary,Abc,A0,0.002963025498729602,0.003864434699822648,-0.000901409201093046,-0.23325771325219047,improve,160
aging_matrix,2027,PreDiag_000243_00022C,Abc-A0,primary,Abc,A0,0.0017870668447348631,0.0026930934231448075,-0.0009060265784099444,-0.3364259741691209,improve,164
aging_matrix,2027,PreDiag_000255_000214,Abc-A0,primary,Abc,A0,0.005201201023743027,0.005817563201442272,-0.0006163621776992447,-0.10594851424157078,improve,164
aging_matrix,2027,PreDiag_000203_0001A4,Ac-A0,primary,Ac,A0,0.00229681120772746,0.00229681120772746,0.0,0.0,equal,164
aging_matrix,2027,PreDiag_000213_0001CF,Ac-A0,primary,Ac,A0,0.005842804664517538,0.005842804664517538,0.0,0.0,equal,142
aging_matrix,2027,PreDiag_000240_000227,Ac-A0,primary,Ac,A0,0.003864434699822648,0.003864434699822648,0.0,0.0,equal,160
aging_matrix,2027,PreDiag_000243_00022C,Ac-A0,primary,Ac,A0,0.0026930934231448075,0.0026930934231448075,0.0,0.0,equal,164
aging_matrix,2027,PreDiag_000255_000214,Ac-A0,primary,Ac,A0,0.005817563201442272,0.005817563201442272,0.0,0.0,equal,164
aging_matrix,2027,PreDiag_000203_0001A4,Ab-A0,secondary,Ab,A0,0.0014055188548677867,0.00229681120772746,-0.0008912923528596732,-0.3880564279123085,improve,164
aging_matrix,2027,PreDiag_000213_0001CF,Ab-A0,secondary,Ab,A0,0.00587185576250753,0.005842804664517538,2.9051097989991545e-05,0.004972115218298231,worse,142
aging_matrix,2027,PreDiag_000240_000227,Ab-A0,secondary,Ab,A0,0.002963025498729602,0.003864434699822648,-0.000901409201093046,-0.23325771325219047,improve,160
aging_matrix,2027,PreDiag_000243_00022C,Ab-A0,secondary,Ab,A0,0.0017870668447348631,0.0026930934231448075,-0.0009060265784099444,-0.3364259741691209,improve,164
aging_matrix,2027,PreDiag_000255_000214,Ab-A0,secondary,Ab,A0,0.005201201023743027,0.005817563201442272,-0.0006163621776992447,-0.10594851424157078,improve,164
aging_matrix,2027,PreDiag_000203_0001A4,Ag-Abc,secondary,Ag,Abc,0.0014055188548677867,0.0014055188548677867,0.0,0.0,equal,164
