dataset,arm,cb_rmse_mean,cb_rmse_std,cb_mae_mean,cb_mae_std,n_seeds
aging_matrix,A0,0.0045837929325249094,0.0016588533718827868,0.0037675729410252194,0.001336387747212236,4
aging_matrix,Ab,0.0034301546558477185,0.0008283799552504604,0.0029773925213260571,0.00070901450418497524,4
aging_matrix,Abc,0.0034301546558477185,0.0008283799552504604,0.0029773925213260571,0.00070901450418497524,4
aging_matrix,Ac,0.0045837929325249094,0.0016588533718827868,0.0037675729410252194,0.001336387747212236,4
aging_matrix,Ag,0.0034301546558477185,0.0008283799552504604,0.0029773925213260571,0.00070901450418497524,4
dynamic_cycling,A0,0.0043139677455593019,0.00016870189308894429,0.0036347123752476407,0.00014160165832512842,4
dynamic_cycling,Ab,0.0042896112304735166,0.00018954532744470698,0.003602367264437383,0.00015749215476551956,4
dynamic_cycling,Abc,0.0042852408071109328,9.3472459037449764e-05,0.0036369641852540204,9.1081994314943794e-05,4
dynamic_cycling,Ac,0.0043294865064522261,0.0001048952248031059,0.0036868374854224051,0.0001370332128094527,4
dynamic_cycling,Ag,0.0042852408071109328,9.3472459037449764e-05,0.0036369641852540204,9.1081994314943794e-05,4
isu_ilcc_lpo,A0,0.10247681018356809,0.0028695181445487499,0.085998102924380898,0.0027476053904482538,4
isu_ilcc_lpo,Ab,0.10555908789763388,0.0022202726538407148,0.089609397059924295,0.0021014347798387211,4
isu_ilcc_lpo,Abc,0.10833986210453175,0.00047701963660792335,0.098068601392047552,0.00044147202304322612,4
isu_ilcc_lpo,Ac,0.10878694664790417,0.00060944489881121393,0.098452267733886309,0.00058604061971824029,4
isu_ilcc_lpo,Ag,0.10833986210453175,0.00047701963660792335,0.098068601392047552,0.00044147202304322612,4
mit,A0,0.029545603521589713,0.00030504865318904396,0.021742473705261531,0.00049971842960723099,4
mit,Ab,0.028551364986897393,0.00063574246291208032,0.019709822046562218,0.00032574747308255879,4
mit,Abc,0.011236825603643636,0.00059925999222123778,0.0091739048981163435,0.00057905691214683267,4
mit,Ac,0.014693814935157822,0.0004889565585164549,0.012241293857120621,0.00038126056056929738,4
mit,Ag,0.011236825603643636,0.00059925999222123778,0.0091739048981163435,0.00057905691214683267,4
xjtu_lpo,A0,0.04914085534126679,0.00031457524254642152,0.032566268914966709,0.00029039384176475768,4
xjtu_lpo,Ab,0.049518653237854059,0.00037166245686109391,0.033418032994868091,0.00062282968359921454,4
xjtu_lpo,Abc,0.061970939559190794,0.021225137728591446,0.057358805414464198,0.022561160997942042,4
xjtu_lpo,Ac,0.061813701888781103,0.021142313991405755,0.057006973229579753,0.022577221578856135,4
xjtu_lpo,Ag,0.04914085534126679,0.00031457524254642152,0.032566268914966709,0.00029039384176475768,4
