method,dataset,cb_rmse_mean,cb_rmse_std,n_seeds,status,source_file,source_sha256
Naive prefix,mit,0.06168993993576161,not_applicable,0,complete,results/ABLATIONS/naive_prefix_baseline.csv,6f8159ccebc7900ae0014fc53c5667217ad8fcced3206dc765df48c52efb758e
DLinear,mit,0.026445093054679177,0.0003348647972350627,3,complete,results/ABLATIONS/extbase_archive/hpo_v2/DLINEAR_STD_SUMMARY.json,7eb6ecac3d0231afa9dd3c9ab00e1d6170ed015b985a06525f84021380094745
iTransformer,mit,0.11284672788211277,0.040479263748903094,3,complete,results/ABLATIONS/extbase_archive/hpo_v2/FINAL_SUMMARY_V2.json,c47656fb0aedb2c0dcfb0363c5a5d6cc40eb41707fa29739dc257f4eb8c9ebc7
LSTM,mit,0.02990366613847159,0.0017789266457060701,3,complete,results/ABLATIONS/extbase_archive/hpo_v2/LSTM_TRANSFORMER_SUMMARY.json,94b66bdcf44287494282ef9ec662c818e7ab607c7ed6a51519fdc88cd59087c7
vanilla Transformer,mit,0.03415806507248254,0.0034865534634818305,3,complete,results/ABLATIONS/extbase_archive/hpo_v2/LSTM_TRANSFORMER_SUMMARY.json,94b66bdcf44287494282ef9ec662c818e7ab607c7ed6a51519fdc88cd59087c7
PatchTST,mit,0.03521752543747425,0.0037038580990405644,3,complete,results/ABLATIONS/extbase_archive/corrected/CORRECTED_SUMMARY.json,e8b0cb81923c851e203d27c9731cb18898c5141c3694965e44242f4d6fe2390d
CPTransformer,mit,0.25537691797528944,0.0006260899293847262,3,complete,results/ABLATIONS/extbase_archive/corrected/CORRECTED_SUMMARY.json,e8b0cb81923c851e203d27c9731cb18898c5141c3694965e44242f4d6fe2390d
CALIBER-base,mit,0.028375656654437382,0.0015324611651542223,3,complete,results/ABLATIONS/extbase_archive/ours_grid/OURS_GRID_SUMMARY.json,2e8be587846635e490347ff31006c82d535012cd781a4c945206fce311a4a8f5
Naive prefix,xjtu_lpo,0.050967700777997116,not_applicable,0,complete,results/ABLATIONS/naive_prefix_baseline.csv,6f8159ccebc7900ae0014fc53c5667217ad8fcced3206dc765df48c52efb758e
DLinear,xjtu_lpo,0.058589655582023704,0.00347876372225291,3,complete,results/ABLATIONS/extbase_archive/hpo_v2/DLINEAR_STD_SUMMARY.json,7eb6ecac3d0231afa9dd3c9ab00e1d6170ed015b985a06525f84021380094745
iTransformer,xjtu_lpo,0.28538113638110785,0.022736193665524825,3,complete,results/ABLATIONS/extbase_archive/hpo_v2/FINAL_SUMMARY_V2.json,c47656fb0aedb2c0dcfb0363c5a5d6cc40eb41707fa29739dc257f4eb8c9ebc7
