dataset,comparison,n_seeds,n_cell_seed_pairs,mean_of_seed_means,std_of_seed_means,median_of_seed_medians,positive_seed_count,negative_seed_count,zero_seed_count,hierarchical_ci_low,hierarchical_ci_high,leave_seed2028_mean,mean_delta,median_delta,q10,q25,q50,q75,q90,min_delta,max_delta,worst_delta,improve_rate,worse_rate,equal_rate
aging_matrix,Ab-A0,4,20,-0.0011536382766771922,0.0008663799106866067,-0.0011243208911290614,0,4,0,-0.0019919217101163128,-0.0004827012643337059,,-0.0011536382766771922,-0.0009037178897514952,-0.002577837812963942,-0.001682385699345311,-0.0009037178897514952,-0.0004724186965955711,-0.0002563922013141006,-0.002876806083157855,2.9051097989991545e-05,2.9051097989991545e-05,0.95,0.05,0.0
aging_matrix,Abc-A0,4,20,-0.0011536382766771922,0.0008663799106866067,-0.0011243208911290614,0,4,0,-0.001988559051925043,-0.0004783156606765813,,-0.0011536382766771922,-0.0009037178897514952,-0.002577837812963942,-0.001682385699345311,-0.0009037178897514952,-0.0004724186965955711,-0.0002563922013141006,-0.002876806083157855,2.9051097989991545e-05,2.9051097989991545e-05,0.95,0.05,0.0
aging_matrix,Ac-A0,4,20,0.0,0.0,0.0,0,0,4,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
aging_matrix,Ag-A0,4,20,-0.0011536382766771922,0.0008663799106866067,-0.0011243208911290614,0,4,0,-0.0019813358602707486,-0.0004890531392874565,,-0.0011536382766771922,-0.0009037178897514952,-0.002577837812963942,-0.001682385699345311,-0.0009037178897514952,-0.0004724186965955711,-0.0002563922013141006,-0.002876806083157855,2.9051097989991545e-05,2.9051097989991545e-05,0.95,0.05,0.0
aging_matrix,Ag-Abc,4,20,0.0,0.0,0.0,0,0,4,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dynamic_cycling,Ab-A0,4,76,-2.4356515085780874e-05,5.246858915600212e-05,-4.182049954227769e-05,1,2,1,-0.0001584785889608419,0.00013393477291621746,,-2.4356515085780877e-05,0.0,-0.0006178032280915093,-0.00015560499969836396,0.0,0.0001307364960835076,0.0006235429182517127,-0.0014984840674240225,0.0014726434137597969,0.0014726434137597969,0.4342105263157895,0.3157894736842105,0.25
dynamic_cycling,Abc-A0,4,76,-2.8726938448366376e-05,0.00022980063087800134,9.75940821302155e-05,2,2,0,-0.0002836694208220019,0.0002234505676029733,,-2.8726938448366362e-05,-1.451696935063189e-05,-0.0010513673372367788,-0.0002498336340024112,-1.451696935063189e-05,0.0002495508681964987,0.0008894381933627908,-0.001791302341293025,0.0018983805483785156,0.0018983805483785156,0.5131578947368421,0.4868421052631579,0.0
dynamic_cycling,Ac-A0,4,76,1.5518760892922358e-05,0.0002709644131917962,-2.5505845866276213e-06,1,2,1,-0.0002239671961833449,0.00028605127930887817,,1.5518760892922365e-05,0.0,-0.0002935189841303766,-9.743755188516032e-05,0.0,3.411924237382781e-05,0.0003358513040221029,-0.001637549778781644,0.0025559370045508834,0.0025559370045508834,0.42105263157894735,0.32894736842105265,0.25
dynamic_cycling,Ag-A0,4,76,-2.8726938448366376e-05,0.00022980063087800134,9.75940821302155e-05,2,2,0,-0.0002861132422978717,0.00022349347720172392,,-2.8726938448366362e-05,-1.451696935063189e-05,-0.0010513673372367788,-0.0002498336340024112,-1.451696935063189e-05,0.0002495508681964987,0.0008894381933627908,-0.001791302341293025,0.0018983805483785156,0.0018983805483785156,0.5131578947368421,0.4868421052631579,0.0
dynamic_cycling,Ag-Abc,4,76,0.0,0.0,0.0,0,0,4,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
isu_ilcc_lpo,Ab-A0,4,188,0.003082277714065789,0.0006679953568536547,0.0025215588118147093,4,0,0,0.0022035698924044752,0.004046061133015848,,0.0030822777140657896,0.0027756797314527487,-0.0031409486057112747,-0.00014401292590152104,0.0027756797314527487,0.007653351969288675,0.009767219517568105,-0.011428188769844569,0.012991433387322934,0.012991433387322934,0.2712765957446808,0.7287234042553191,0.0
